name, key, step_order, source
"Installed the App",installed_app, 1,hardcoded_in_dbt
"Added a Step to a Workflow",create_new_workflow_action_click, 2,mesa_flow_events
"Created a Workflow",create, 3,workflow_events
"Installed a Template",install_template, 3,workflow_events
"Created a Workflow",workflow_create, 3,mesa_flow_events
"Created a Workflow",workflow_install_template, 3,mesa_flow_events
"Saved a Workflow",workflow_save, 4,mesa_flow_events
"Tested a Workflow",test, 5,workflow_events
"Enabled a Workflow",enable, 6,workflow_events
"Enabled a Workflow",workflow_enable, 6,mesa_flow_events
